jens-peter-jacobsen-303,1847,1885
joachim-heinrich-campe-91,1746,1818
joachim-ringelnatz-496,1883,1934
jochen-klepper-1397,1903,1942
johann-christian-gunther-229,1715,1717
johann-christoph-rost-1525,1717,1765
johannes-daniel-falk-158,1768,1826
johannes-schlaf-923,1862,1941
johann-fischart-1110,1546,1591
johann-gabriel-seidl-546,1804,1875
johann-gaudenz-von-salis-seewis-1191,1762,1834 
johann-georg-fischer-166,1816,1897
johann-georg-jacobi-1596,1740,1814
johann-georg-kerner-316,1770,1812
johann-georg-scheffner-513,1736,1820
johann-gottfried-herder-264,1744,1803
johann-gottfried-seume-547,1763,1810
johann-heinrich-voss-613,1751,1826 
johann-kleinfercher-325,1828,1902
johann-ladislaus-pyrker-474,1772,1847
johann-meyer-741,1829,1904
johann-peter-eckerman-139,1792,1854
johann-peter-hebel-251,1760,1826
johann-peter-uz-604,1720,1796
johann-philipp-lorenz-withof-647,1725,1789
johann-philipp-neumann-440,1774,1849
johann-wilhelm-ludwig-gleim-203,1719,1803
johann-wolfgang-von-goethe-205,1749,1832
john-brinckman-78,1814,1870
john-keats-311,1795,1821
joseph-christian-von-zedlitz-659,1790,1862
joseph-freiherr-von-eichendorff-142,1788,1857
joseph-von-lauff-360,1855,1933
julius-langbehn-1074,1851,1907
julius-sturm-1697,1816,1896
julius-wolff-652,1834,1910
justinus-kerner-315,1786,1862
karl-broger-1670,1886,1944
karl-friedrich-gottlob-wetzel-636,1779,1819
karl-henckell-261,1864,1929
karl-kraus-343,1874,1936
karl-leberecht-immermann-299,1796,1840
karl-may-403,1842,1912
karl-simrock-552,1802,1876
klabund-323,1890,1928
klaus-groth-223,1819,1899
konrad-von-wurzburg-880,1220,1287
kurd-lasswitz-358,1848,1910
kurt-tucholsky-598,1890,1935
leopold-friedrich-gunther-von-goeckingk-1464,1748,1828
ludwig-anzengruber-12,1839,1889
ludwig-aurbacher-30,1784,1847
ludwig-eichrodt-1298,1827,1892
ludwig-fulda-1097,1862,1939
ludwig-heinrich-christoph-holty-280,1748,1776
ludwig-i-von-bayern-865,1786,1868 
ludwig-jacobowski-302,1868,1900
ludwig-rubiner-500,1881,1920
